REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,1/11/2022 0:30,4178.18,8.94,TRADE
VIC1,1/11/2022 1:00,4086.02,0.14,TRADE
VIC1,1/11/2022 1:30,4033.37,0.02,TRADE
VIC1,1/11/2022 2:00,3985.64,0,TRADE
VIC1,1/11/2022 2:30,3885.64,0.02,TRADE
VIC1,1/11/2022 3:00,3919.59,1.04,TRADE
VIC1,1/11/2022 3:30,3806.64,0.12,TRADE
VIC1,1/11/2022 4:00,3794.22,15.95,TRADE
VIC1,1/11/2022 4:30,3772.77,0.02,TRADE
VIC1,1/11/2022 5:00,3923.9,0,TRADE
VIC1,1/11/2022 5:30,4203.54,9.95,TRADE
VIC1,1/11/2022 6:00,4411.04,0.02,TRADE
VIC1,1/11/2022 6:30,4441.65,8.94,TRADE
VIC1,1/11/2022 7:00,4423.77,1.73,TRADE
VIC1,1/11/2022 7:30,4251.17,8.94,TRADE
VIC1,1/11/2022 8:00,4079.02,0,TRADE
VIC1,1/11/2022 8:30,4020.14,84.06,TRADE
VIC1,1/11/2022 9:00,4071.85,-38,TRADE
VIC1,1/11/2022 9:30,4056.44,-38.5,TRADE
VIC1,1/11/2022 10:00,3973.33,-0.9,TRADE
VIC1,1/11/2022 10:30,3870.49,-7.84,TRADE
VIC1,1/11/2022 11:00,4281.61,-37.43,TRADE
VIC1,1/11/2022 11:30,4319.85,62,TRADE
VIC1,1/11/2022 12:00,4435.22,3.74,TRADE
VIC1,1/11/2022 12:30,4370.62,-38,TRADE
VIC1,1/11/2022 13:00,4149.44,-28.86,TRADE
VIC1,1/11/2022 13:30,3933.02,-38,TRADE
VIC1,1/11/2022 14:00,3890.34,-38.67,TRADE
VIC1,1/11/2022 14:30,4108.05,-38,TRADE
VIC1,1/11/2022 15:00,4397.36,-38.5,TRADE
VIC1,1/11/2022 15:30,4472.59,-38,TRADE
VIC1,1/11/2022 16:00,4411.05,-38,TRADE
VIC1,1/11/2022 16:30,4749.83,-38,TRADE
VIC1,1/11/2022 17:00,5014.71,23.87,TRADE
VIC1,1/11/2022 17:30,5218.17,8.94,TRADE
VIC1,1/11/2022 18:00,5329.77,15.2,TRADE
VIC1,1/11/2022 18:30,5492.63,-9.44,TRADE
VIC1,1/11/2022 19:00,5542.56,0,TRADE
VIC1,1/11/2022 19:30,5627.52,0,TRADE
VIC1,1/11/2022 20:00,5473,8.94,TRADE
VIC1,1/11/2022 20:30,5376.31,27.57,TRADE
VIC1,1/11/2022 21:00,5108.43,8.94,TRADE
VIC1,1/11/2022 21:30,4864.74,8.94,TRADE
VIC1,1/11/2022 22:00,4473.18,0,TRADE
VIC1,1/11/2022 22:30,4389.24,-6.78,TRADE
VIC1,1/11/2022 23:00,4313.9,-4.78,TRADE
VIC1,1/11/2022 23:30,4497.91,-7.17,TRADE
VIC1,2/11/2022 0:00,4472.3,-6.75,TRADE
VIC1,2/11/2022 0:30,4337.38,-5.93,TRADE
VIC1,2/11/2022 1:00,4295.03,-4.32,TRADE
VIC1,2/11/2022 1:30,4246.18,-2.01,TRADE
VIC1,2/11/2022 2:00,4048.58,-7.65,TRADE
VIC1,2/11/2022 2:30,4024.94,-19.9,TRADE
VIC1,2/11/2022 3:00,4045.74,-7.62,TRADE
VIC1,2/11/2022 3:30,4038.43,-8.79,TRADE
VIC1,2/11/2022 4:00,4084.15,-22,TRADE
VIC1,2/11/2022 4:30,4286.55,8.91,TRADE
VIC1,2/11/2022 5:00,4544.18,8.91,TRADE
VIC1,2/11/2022 5:30,5033.48,19.13,TRADE
VIC1,2/11/2022 6:00,5484.1,67.82,TRADE
VIC1,2/11/2022 6:30,5928.47,19.13,TRADE
VIC1,2/11/2022 7:00,5883.03,13.42,TRADE
VIC1,2/11/2022 7:30,5493.01,8.91,TRADE
VIC1,2/11/2022 8:00,5254.24,-14.56,TRADE
VIC1,2/11/2022 8:30,4835.16,-56.49,TRADE
VIC1,2/11/2022 9:00,4781.89,-59,TRADE
VIC1,2/11/2022 9:30,4562.24,-55.66,TRADE
VIC1,2/11/2022 10:00,4492.96,-60,TRADE
VIC1,2/11/2022 10:30,4310.39,-67.73,TRADE
VIC1,2/11/2022 11:00,4264.15,-60,TRADE
VIC1,2/11/2022 11:30,4189.82,-67.91,TRADE
VIC1,2/11/2022 12:00,4222.07,-66.86,TRADE
VIC1,2/11/2022 12:30,3983.02,-66.57,TRADE
VIC1,2/11/2022 13:00,4181.03,-61.68,TRADE
VIC1,2/11/2022 13:30,4112.04,-57.92,TRADE
VIC1,2/11/2022 14:00,4279.16,-51.51,TRADE
VIC1,2/11/2022 14:30,4586,-52.34,TRADE
VIC1,2/11/2022 15:00,5084.84,-38,TRADE
VIC1,2/11/2022 15:30,5274.78,-9.49,TRADE
VIC1,2/11/2022 16:00,5479.86,74.76,TRADE
VIC1,2/11/2022 16:30,5683.13,76.17,TRADE
VIC1,2/11/2022 17:00,5805.35,59.99,TRADE
VIC1,2/11/2022 17:30,5861.04,10.89,TRADE
VIC1,2/11/2022 18:00,5863.58,33.02,TRADE
VIC1,2/11/2022 18:30,5999.93,59.99,TRADE
VIC1,2/11/2022 19:00,5987,112.3,TRADE
VIC1,2/11/2022 19:30,6018.43,55.94,TRADE
VIC1,2/11/2022 20:00,5810.99,8.94,TRADE
VIC1,2/11/2022 20:30,5556.92,59.99,TRADE
VIC1,2/11/2022 21:00,5294,59.99,TRADE
VIC1,2/11/2022 21:30,5023.29,23.14,TRADE
VIC1,2/11/2022 22:00,4798.55,5.26,TRADE
VIC1,2/11/2022 22:30,4611.23,9.2,TRADE
VIC1,2/11/2022 23:00,4486.48,4.95,TRADE
VIC1,2/11/2022 23:30,4691.81,9.2,TRADE
VIC1,3/11/2022 0:00,4661.52,59.99,TRADE
VIC1,3/11/2022 0:30,4525.6,57.84,TRADE
VIC1,3/11/2022 1:00,4405.25,59.99,TRADE
VIC1,3/11/2022 1:30,4287.22,59.99,TRADE
VIC1,3/11/2022 2:00,4190.68,59.99,TRADE
VIC1,3/11/2022 2:30,4196.15,59.99,TRADE
VIC1,3/11/2022 3:00,4173.9,25.03,TRADE
VIC1,3/11/2022 3:30,4167.06,60.02,TRADE
VIC1,3/11/2022 4:00,4240.47,59.99,TRADE
VIC1,3/11/2022 4:30,4463.4,60.27,TRADE
VIC1,3/11/2022 5:00,4671.28,80.01,TRADE
VIC1,3/11/2022 5:30,5211.26,115,TRADE
VIC1,3/11/2022 6:00,5432.4,81.06,TRADE
VIC1,3/11/2022 6:30,5942.87,83,TRADE
VIC1,3/11/2022 7:00,5986.56,80.01,TRADE
VIC1,3/11/2022 7:30,5610.45,59.99,TRADE
VIC1,3/11/2022 8:00,5410.78,-19.77,TRADE
VIC1,3/11/2022 8:30,5271.56,59.99,TRADE
VIC1,3/11/2022 9:00,4793.99,0.13,TRADE
VIC1,3/11/2022 9:30,4690.66,-38,TRADE
VIC1,3/11/2022 10:00,4691.68,14.7,TRADE
VIC1,3/11/2022 10:30,4483.62,-38,TRADE
VIC1,3/11/2022 11:00,4395.57,-37.43,TRADE
VIC1,3/11/2022 11:30,4394.1,-20,TRADE
VIC1,3/11/2022 12:00,4325.79,-38,TRADE
VIC1,3/11/2022 12:30,4309.48,0.14,TRADE
VIC1,3/11/2022 13:00,4315.92,-27.01,TRADE
VIC1,3/11/2022 13:30,4512.94,-38,TRADE
VIC1,3/11/2022 14:00,4468.66,-38,TRADE
VIC1,3/11/2022 14:30,4277.98,-41.51,TRADE
VIC1,3/11/2022 15:00,4448.99,0.14,TRADE
VIC1,3/11/2022 15:30,4647.44,19.11,TRADE
VIC1,3/11/2022 16:00,4796.16,59.99,TRADE
VIC1,3/11/2022 16:30,5104.62,59.99,TRADE
VIC1,3/11/2022 17:00,5391.11,59.99,TRADE
VIC1,3/11/2022 17:30,5643.05,85.79,TRADE
VIC1,3/11/2022 18:00,5776.49,179.1,TRADE
VIC1,3/11/2022 18:30,5876.07,298.71,TRADE
VIC1,3/11/2022 19:00,5961.6,299.5,TRADE
VIC1,3/11/2022 19:30,6004.84,299.5,TRADE
VIC1,3/11/2022 20:00,5859.12,192.8,TRADE
VIC1,3/11/2022 20:30,5741.51,149.5,TRADE
VIC1,3/11/2022 21:00,5418.13,125.93,TRADE
VIC1,3/11/2022 21:30,5222.39,115,TRADE
VIC1,3/11/2022 22:00,4983.13,59.99,TRADE
VIC1,3/11/2022 22:30,4739.46,59.99,TRADE
VIC1,3/11/2022 23:00,4649.68,59.99,TRADE
VIC1,3/11/2022 23:30,4899.75,107.61,TRADE
VIC1,4/11/2022 0:00,4746.98,127.01,TRADE
VIC1,4/11/2022 0:30,4574.03,149.5,TRADE
VIC1,4/11/2022 1:00,4426.5,149.5,TRADE
VIC1,4/11/2022 1:30,4371.85,149.5,TRADE
VIC1,4/11/2022 2:00,4283.81,122.73,TRADE
VIC1,4/11/2022 2:30,4249.54,115.64,TRADE
VIC1,4/11/2022 3:00,4242.38,117.22,TRADE
VIC1,4/11/2022 3:30,4238.53,131.41,TRADE
VIC1,4/11/2022 4:00,4360.99,149.5,TRADE
VIC1,4/11/2022 4:30,4481.54,165,TRADE
VIC1,4/11/2022 5:00,4748.6,180.79,TRADE
VIC1,4/11/2022 5:30,5195.71,276.7,TRADE
VIC1,4/11/2022 6:00,5505.58,131.63,TRADE
VIC1,4/11/2022 6:30,5729.06,59.06,TRADE
VIC1,4/11/2022 7:00,5757.62,60.37,TRADE
VIC1,4/11/2022 7:30,5533.1,69.73,TRADE
VIC1,4/11/2022 8:00,5241.06,92.24,TRADE
VIC1,4/11/2022 8:30,5226.93,80.01,TRADE
VIC1,4/11/2022 9:00,5066.77,49.92,TRADE
VIC1,4/11/2022 9:30,4856.26,89.43,TRADE
VIC1,4/11/2022 10:00,4792.86,122.32,TRADE
VIC1,4/11/2022 10:30,4612.48,102.77,TRADE
VIC1,4/11/2022 11:00,4534.88,125.84,TRADE
VIC1,4/11/2022 11:30,4417.76,102.25,TRADE
VIC1,4/11/2022 12:00,4308.68,99.83,TRADE
VIC1,4/11/2022 12:30,3981.09,81.13,TRADE
VIC1,4/11/2022 13:00,3890.43,41.66,TRADE
VIC1,4/11/2022 13:30,3718.92,43.65,TRADE
VIC1,4/11/2022 14:00,3614.48,37.17,TRADE
VIC1,4/11/2022 14:30,3577.95,36.43,TRADE
VIC1,4/11/2022 15:00,3708.47,36.34,TRADE
VIC1,4/11/2022 15:30,3882.08,40.01,TRADE
VIC1,4/11/2022 16:00,4200.44,85.25,TRADE
VIC1,4/11/2022 16:30,4374.09,80.01,TRADE
VIC1,4/11/2022 17:00,4769.68,71.61,TRADE
VIC1,4/11/2022 17:30,4990.77,124.3,TRADE
VIC1,4/11/2022 18:00,5170.12,151.68,TRADE
VIC1,4/11/2022 18:30,5305.53,193.28,TRADE
VIC1,4/11/2022 19:00,5425.81,179.25,TRADE
VIC1,4/11/2022 19:30,5409.85,143.84,TRADE
VIC1,4/11/2022 20:00,5439.18,138.75,TRADE
VIC1,4/11/2022 20:30,5245.02,139.82,TRADE
VIC1,4/11/2022 21:00,5030.4,115,TRADE
VIC1,4/11/2022 21:30,4950.77,133.73,TRADE
VIC1,4/11/2022 22:00,4787.54,117.38,TRADE
VIC1,4/11/2022 22:30,4683.67,115,TRADE
VIC1,4/11/2022 23:00,4492.36,94.12,TRADE
VIC1,4/11/2022 23:30,4743.13,105.77,TRADE
VIC1,5/11/2022 0:00,4593.25,93.98,TRADE
VIC1,5/11/2022 0:30,4405.68,95.48,TRADE
VIC1,5/11/2022 1:00,4309.42,97.97,TRADE
VIC1,5/11/2022 1:30,4233.3,96.72,TRADE
VIC1,5/11/2022 2:00,4036.44,80.01,TRADE
VIC1,5/11/2022 2:30,4044.09,84.07,TRADE
VIC1,5/11/2022 3:00,3951.99,82.42,TRADE
VIC1,5/11/2022 3:30,3946.92,80.42,TRADE
VIC1,5/11/2022 4:00,3970.15,84.1,TRADE
VIC1,5/11/2022 4:30,4028.7,85.25,TRADE
VIC1,5/11/2022 5:00,4068.85,99.64,TRADE
VIC1,5/11/2022 5:30,4247.39,107.43,TRADE
VIC1,5/11/2022 6:00,4341.57,60.01,TRADE
VIC1,5/11/2022 6:30,4450.26,20.89,TRADE
VIC1,5/11/2022 7:00,4420.48,12.19,TRADE
VIC1,5/11/2022 7:30,4362.97,56.04,TRADE
VIC1,5/11/2022 8:00,3966.93,6.87,TRADE
VIC1,5/11/2022 8:30,3596.81,6.48,TRADE
VIC1,5/11/2022 9:00,3305.9,-26.33,TRADE
VIC1,5/11/2022 9:30,2900.47,-34.26,TRADE
VIC1,5/11/2022 10:00,2785.24,-45,TRADE
VIC1,5/11/2022 10:30,2858,-44.22,TRADE
VIC1,5/11/2022 11:00,2936.68,-10.91,TRADE
VIC1,5/11/2022 11:30,3140.78,11.55,TRADE
VIC1,5/11/2022 12:00,3128.86,8.94,TRADE
VIC1,5/11/2022 12:30,3129.91,0.02,TRADE
VIC1,5/11/2022 13:00,3239.38,-6.5,TRADE
VIC1,5/11/2022 13:30,3311.2,9.34,TRADE
VIC1,5/11/2022 14:00,3287.63,10.35,TRADE
VIC1,5/11/2022 14:30,3234.95,96.79,TRADE
VIC1,5/11/2022 15:00,3274.8,11.6,TRADE
VIC1,5/11/2022 15:30,3537.95,19.13,TRADE
VIC1,5/11/2022 16:00,3818.31,100.53,TRADE
VIC1,5/11/2022 16:30,3942.52,109.06,TRADE
VIC1,5/11/2022 17:00,4180.57,96.11,TRADE
VIC1,5/11/2022 17:30,4347.46,168.78,TRADE
VIC1,5/11/2022 18:00,4583.19,268.47,TRADE
VIC1,5/11/2022 18:30,4716.97,176.29,TRADE
VIC1,5/11/2022 19:00,4686.91,172.29,TRADE
VIC1,5/11/2022 19:30,4783.6,177.21,TRADE
VIC1,5/11/2022 20:00,4716.69,167.23,TRADE
VIC1,5/11/2022 20:30,4581.74,141.58,TRADE
VIC1,5/11/2022 21:00,4443.88,139.39,TRADE
VIC1,5/11/2022 21:30,4367.99,119.22,TRADE
VIC1,5/11/2022 22:00,4258.5,103.94,TRADE
VIC1,5/11/2022 22:30,4176.56,101.53,TRADE
VIC1,5/11/2022 23:00,4206.42,103.94,TRADE
VIC1,5/11/2022 23:30,4332.09,106.16,TRADE
